time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20170821T051037,0.78,19731,339731,0.81,6928,173462
20170821T081000,0,0,0,0.84,5000,5000
20170821T081509,0.81,3000,3000,0.84,5000,83444
20170821T081520,0.81,200,3000,0.81,200,93644
20170821T090012,0.81,3000,30565,0.84,16220,251023
20170821T090012,0.81,2800,30365,0.84,16220,251023
20170821T090409,0.81,2800,32726,0.84,5000,251023
20170821T090507,0.81,2800,32726,0.83,6928,257951
20170821T105447,0.81,2800,84325,0.82,59653,317604
20170821T115945,0.78,1000,90375,0.82,59653,317604
20170821T115945,0.78,1000,90375,0.81,3100,320704
20170821T120043,0.78,1000,100136,0.8,6928,320704
20170821T121616,0.78,1000,114457,0.81,3100,313776
20170821T121616,0.8,72,114529,0.81,3100,313776
20170821T141539,0.8,72,130353,0.81,3000,328676
20170821T144319,0.78,11000,130113,0.81,3000,328676
20170821T144319,0.78,11000,130113,0.81,2928,328604
20170821T152626,0.78,25565,130113,0.81,2928,328604
20170821T160939,0.78,25565,126886,0.82,59653,328676
20170821T160939,0.78,25565,126886,0.82,57581,326604
20170821T160939,0.78,28278,129599,0.82,57581,326604
20170821T161626,0.78,25565,116886,0.82,57581,326604
20170821T162000,0.78,38264,124585,0.82,57581,326604
20170821T173700,0.78,37264,123585,0.82,57581,326604
20170821T173700,0.78,22699,109020,0.82,57581,326604
20170821T173700,0.78,22699,97020,0.84,5000,269023
