time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20170822T051037,3.44,400,16010,3.49,3694,68294
20170822T081000,3.42,4000,4000,0,0,0
20170822T081000,3.42,4000,15610,3.7,2000,2000
20170822T081000,3.42,4000,15610,3.7,5000,5000
20170822T081624,3.42,4000,15610,3.49,250,47851
20170822T082937,3.49,250,21150,3.49,250,90689
20170822T090026,3.49,1440,21150,3.55,11238,90439
20170822T090026,3.49,1190,20900,3.55,11238,90439
20170822T092206,3.49,1190,20900,3.5,6000,96439
20170822T092850,3.42,4000,19710,3.5,6000,98109
20170822T092850,3.42,4000,19710,3.49,69031,167140
20170822T092920,3.42,4000,19710,3.48,2024,167494
20170822T093001,3.42,4000,19710,3.48,17024,182494
20170822T093258,3.42,4000,19710,3.47,15000,182494
20170822T093728,3.42,4000,19710,3.49,69031,165470
20170822T093728,3.42,4000,19710,3.48,2341,167811
20170822T094623,3.43,5000,34710,3.48,2341,167811
20170822T094623,3.43,5000,34710,3.49,69031,165470
20170822T103117,3.43,5000,34710,3.48,2563,188033
20170822T105945,3.43,5000,34710,3.49,69031,185470
20170822T110046,3.43,5000,34710,3.48,2667,188137
20170822T113041,3.43,5000,34710,3.49,69031,185470
20170822T113041,3.43,5000,34710,3.49,56948,173387
20170822T113057,3.43,5000,34710,3.48,1027,174414
20170822T123741,3.43,5000,34710,3.48,4027,177414
20170822T123848,3.43,5000,34710,3.48,1027,174414
20170822T125903,3.47,7500,42210,3.48,1027,174414
20170822T125903,3.47,7500,42210,3.49,56948,173387
20170822T134555,3.47,7500,42210,3.49,58948,175387
20170822T162000,3.47,7500,42210,3.48,1027,176414
