time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20170824T051034,170.0,5,5,0,0,0
20170824T081536,170.0,5,4958,185.0,5000,5000
20170824T083234,173.0,250,5505,185.0,5000,5000
20170824T083241,173.0,250,5505,180.0,250,5250
20170824T095834,173.0,250,5505,179.0,77,5327
20170824T112353,174.0,3,5505,179.0,77,5327
20170824T113303,175.0,3,5508,179.0,77,5327
20170824T115551,175.5,3,5508,179.0,77,5327
20170824T120206,176.5,3,5508,179.0,77,5327
20170824T122422,173.5,3,5505,179.0,77,5077
20170824T122422,173.5,3,5505,176.0,247,5324
20170824T122428,173.5,3,5505,179.0,77,5324
20170824T131035,175.0,3,5505,179.0,77,5324
20170824T155822,176.0,3,555,179.0,77,5324
20170824T155913,174.0,3,555,179.0,77,5324
