time,price,quantity,source,buyer,seller,initiator
20170814T090136,2.8,1427,Auto trade,PAS,MSI,
20170814T090136,2.8,83573,Auto trade,PAS,MSI,
20170814T090136,2.8,2000,Auto trade,PAS,DDB,
20170814T090136,2.8,1144,Auto trade,PAS,DDB,
20170814T090136,2.8,11856,Auto trade,PAS,NOE,
20170814T090136,2.8,8582,Auto trade,DNM,NOE,
20170814T090136,2.8,420,Auto trade,DNM,AVA,
20170814T090136,2.8,3498,Auto trade,DNM,NON,
20170814T090136,2.8,2216,Auto trade,DNM,NON,
20170814T090136,2.8,7500,Auto trade,DNM,NON,
20170814T090136,2.8,8000,Auto trade,DNM,NON,
20170814T090136,2.8,3715,Auto trade,DNM,SKBN,
20170814T090136,2.8,840,Auto trade,DNM,NON,
20170814T090136,2.8,39905,Auto trade,DNM,SKBN,
20170814T090136,2.8,4000,Auto trade,DNM,NON,
20170814T090136,2.8,20000,Auto trade,DNM,NTF,
20170814T090136,2.8,7555,Auto trade,DNM,NON,
20170814T090136,2.8,35000,Auto trade,DNM,PAS,
20170814T090136,2.8,700,Auto trade,DNM,NON,
20170814T090136,2.8,58000,Auto trade,DNM,NTF,
20170814T090136,2.8,1500,Auto trade,DNM,NON,
20170814T090136,2.8,200000,Auto trade,DNM,DNM,
20170814T090136,2.8,15000,Auto trade,DNM,DNM,
20170814T090136,2.8,5000,Auto trade,DNM,NON,
20170814T090136,2.8,200000,Auto trade,DNM,DNM,
20170814T090136,2.8,17032,Auto trade,DNM,NON,
20170814T090136,2.8,4572,Auto trade,DNM,NON,
20170814T090136,2.8,4400,Auto trade,DNM,NON,
20170814T090136,2.8,22000,Auto trade,DNM,SKBN,
20170814T090136,2.8,24000,Auto trade,DNM,DNM,
20170814T090136,2.8,69065,Auto trade,DNM,DNM,
20170814T090136,2.8,130935,Auto trade,DNM,DNM,
20170814T090136,2.8,13991,Auto trade,DNM,NON,
20170814T090136,2.8,50000,Auto trade,DNM,NTF,
20170814T090136,2.8,4400,Auto trade,DNM,DNM,
20170814T090136,2.8,400000,Auto trade,DNM,DNM,
20170814T090136,2.8,800,Auto trade,DNM,AVA,
20170814T090136,2.8,10000,Auto trade,DNM,NTF,
20170814T090136,2.8,2000,Auto trade,DNM,NTF,
20170814T090136,2.8,15000,Auto trade,DNM,MSI,
20170814T090136,2.8,10000,Auto trade,DNM,NOE,
20170814T090136,2.8,50000,Auto trade,DNM,SKBN,
20170814T090136,2.8,40000,Auto trade,DNM,NON,
20170814T090136,2.8,2000,Auto trade,DNM,NON,
20170814T090136,2.8,270874,Auto trade,DNM,DNM,
20170814T090136,2.8,5000,Auto trade,CAR,MSI,
20170814T090136,2.8,1078,Auto trade,CAR,SKBN,
20170814T090136,2.8,3000,Auto trade,CAR,SKBN,
20170814T090136,2.8,17000,Auto trade,CAR,SB1M,
20170814T090136,2.8,100000,Auto trade,CAR,DNM,
20170814T090136,2.8,50000,Auto trade,CAR,NTF,
20170814T090136,2.8,50000,Auto trade,CAR,NTF,
20170814T090136,2.8,200000,Auto trade,CAR,PAS,
20170814T090136,2.8,73922,Auto trade,CAR,DNM,
20170814T090136,2.8,10000,Auto trade,NYE,DNM,
20170814T090136,2.8,700,Auto trade,NON,DNM,
20170814T090136,2.8,3400,Auto trade,NON,DNM,
20170814T090136,2.8,22950,Auto trade,SKBN,DNM,
20170814T090136,2.8,18154,Auto trade,PAS,DNM,
20170814T090136,2.8,3500,Auto trade,PAS,NTF,
20170814T090136,2.8,50000,Auto trade,PAS,DNM,
20170814T090136,2.8,500,Auto trade,PAS,AVA,
20170814T090136,2.8,7000,Auto trade,PAS,DNM,
20170814T090136,2.8,45846,Auto trade,PAS,DNM,
20170814T090136,2.8,1000,Auto trade,NOE,DNM,
20170814T090136,2.8,13154,Auto trade,DNM,DNM,
20170814T090136,2.8,6846,Auto trade,DNM,SKBN,
20170814T090136,2.8,13154,Auto trade,NON,SKBN,
20170814T090136,2.8,50000,Auto trade,NON,NTF,
20170814T090136,2.8,50000,Auto trade,NON,NTF,
20170814T090136,2.8,17000,Auto trade,NON,NON,
20170814T090136,2.8,169846,Auto trade,NON,DNM,
20170814T090136,2.8,80154,Auto trade,PAS,DNM,
20170814T090136,2.8,5000,Auto trade,PAS,NON,
20170814T090136,2.8,50000,Auto trade,PAS,PAS,
