time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20170814T051036,2.47,10000,675100,2.51,56628,742491
20170814T081000,2.4,5000,5000,0,0,0
20170814T081000,2.4,10000,10000,0,0,0
20170814T081000,2.4,10000,103401,2.57,4000,4000
20170814T081000,2.4,10000,103401,2.57,24000,24000
20170814T081000,2.4,10000,103401,2.57,31555,31555
20170814T081500,2.5,10000,113401,2.57,31555,522715
20170814T081500,2.6,70000,183401,2.6,70000,651845
20170814T081507,2.59,70000,183481,2.59,70000,687691
20170814T081528,2.57,70000,359597,2.57,70000,837666
20170814T081529,2.57,77000,414197,2.57,77000,845666
20170814T081530,2.56,77000,428094,2.56,77000,895666
20170814T081535,2.57,127000,479594,2.57,127000,895666
20170814T081705,2.57,142000,516725,2.57,142000,1109604
20170814T081752,2.59,162000,690560,2.59,162000,3242952
20170814T081753,2.59,170000,728560,2.59,170000,3242952
20170814T081753,2.6,247811,1130560,2.6,247811,3242952
20170814T081932,2.6,287716,1176599,2.6,287716,3398638
20170814T081938,2.6,291607,1176599,2.6,291607,3458396
20170814T081945,2.6,295322,1183521,2.6,295322,3462111
20170814T082000,2.6,270322,1189921,2.6,270322,3477111
20170814T082000,2.6,245322,1189921,2.6,245322,3452111
20170814T082007,2.6,220322,1189921,2.6,220322,3427111
20170814T082819,2.61,220955,1448228,2.61,220955,3613835
20170814T083006,2.61,240955,1448228,2.61,240955,3613835
20170814T083006,2.61,240055,1447328,2.61,240055,3613835
20170814T083006,2.61,240955,1448228,2.61,240955,3613835
20170814T083059,2.61,270955,1496228,2.61,270955,3715828
20170814T083101,2.61,290955,1516228,2.61,290955,3715828
20170814T083116,2.61,310955,1538228,2.61,310955,3715828
20170814T083340,2.61,313955,1571228,2.61,313955,3720828
20170814T083404,2.61,318955,1572372,2.61,318955,3631663
20170814T083518,2.61,325955,1579372,2.61,325955,3631663
20170814T083519,2.61,333440,1586857,2.61,333440,3631663
20170814T083535,2.61,338440,1589157,2.61,338440,3631663
20170814T083542,2.61,341940,1592657,2.61,341940,3631663
20170814T083547,2.61,350940,1601657,2.61,350940,3631663
20170814T083610,2.61,357040,1652757,2.61,357040,3631663
20170814T083752,2.61,360871,1664088,2.61,360871,3631663
20170814T083823,2.61,367501,1677918,2.61,367501,3746663
20170814T083847,2.61,372501,1682918,2.61,372501,3746663
20170814T083857,2.61,387001,1697678,2.61,387001,3746663
20170814T083914,2.61,380371,1690948,2.61,380371,3746663
20170814T083915,2.61,386371,1696948,2.61,386371,3746663
20170814T083917,2.62,425322,1866948,2.62,425322,3746663
20170814T083936,2.63,475494,1966948,2.63,475494,3746663
20170814T083940,2.63,469494,1960948,2.63,469494,3746663
20170814T084010,2.63,476094,1967648,2.63,476094,3746663
20170814T084047,2.63,482894,1967248,2.63,482894,3746663
20170814T084155,2.63,492894,2472048,2.63,492894,3746663
20170814T084236,2.63,497894,2526433,2.63,497894,3746663
20170814T084320,2.63,502894,2528318,2.63,502894,3770663
20170814T084412,2.63,503494,2513000,2.63,503494,3870663
20170814T084428,2.63,513494,2523000,2.63,513494,3880663
20170814T084436,2.63,515376,2524882,2.63,515376,3880663
20170814T084444,2.63,516487,2524840,2.63,516487,3880663
20170814T084505,2.63,516387,2524740,2.63,516387,3880663
20170814T084515,2.63,536387,2524740,2.63,536387,3920663
20170814T084731,2.63,563387,2511740,2.63,563387,3938222
20170814T084733,2.63,588387,2536740,2.63,588387,3938222
20170814T084809,2.63,587887,2516240,2.63,587887,3948222
20170814T084828,2.63,637887,2596240,2.63,637887,3933222
20170814T084854,2.63,647435,2665140,2.63,647435,3933222
20170814T084913,2.63,697435,2706998,2.63,697435,3983222
20170814T084915,2.63,647435,2706998,2.63,647435,3933222
20170814T085023,2.65,706520,3158098,2.65,706520,3933222
20170814T085023,2.65,707420,3158098,2.65,707420,3933222
20170814T085038,2.65,807420,3309098,2.65,807420,3933222
20170814T085044,2.65,817420,3419098,2.65,817420,3933222
20170814T085048,2.65,907426,3419098,2.65,907426,3933222
20170814T085117,2.65,1070820,3462998,2.65,1070820,4133222
20170814T085130,2.65,1099820,3511116,2.65,1099820,4133222
20170814T085131,2.65,1107426,3571116,2.65,1107426,4133222
20170814T085240,2.65,1122426,3749760,2.65,1122426,4148222
20170814T085325,2.65,1172426,3770156,2.65,1172426,4298222
20170814T085420,2.66,1172426,4095556,2.66,1172426,4398222
20170814T085424,2.67,1270120,4195556,2.67,1270120,4398222
20170814T085431,2.67,1285120,4230556,2.67,1285120,4398222
20170814T085440,2.67,1313120,4230556,2.67,1313120,4398222
20170814T085440,2.67,1312220,4229656,2.67,1312220,4398222
20170814T085440,2.67,1313120,4230556,2.67,1313120,4398222
20170814T085449,2.67,1333120,4230556,2.67,1333120,4398222
20170814T085451,2.67,1353120,4230556,2.67,1353120,4398222
20170814T085454,2.67,1363120,4241056,2.67,1363120,4398222
20170814T085513,2.67,1367120,4244998,2.67,1367120,4398222
20170814T085533,2.67,1367870,4244948,2.67,1367870,4419244
20170814T085535,2.67,1372870,4249948,2.67,1372870,4419244
20170814T085547,2.67,1381870,4249948,2.67,1381870,4419244
20170814T085608,2.67,1501870,4369948,2.67,1501870,4634244
20170814T085609,2.69,1640220,4869948,2.69,1640220,4634244
20170814T085609,2.69,1660220,4869948,2.69,1660220,4634244
20170814T085609,2.69,1661120,4869948,2.69,1661120,4634244
20170814T085617,2.69,1696120,4868448,2.69,1696120,4634244
20170814T085625,2.69,1704626,4897492,2.69,1704626,4634244
20170814T085626,2.7,1713964,4947442,2.7,1713964,4634244
20170814T085627,2.7,1813964,4947442,2.7,1813964,4634244
20170814T085637,2.7,1821449,4986442,2.7,1821449,4634244
20170814T085637,2.7,1821649,5004442,2.7,1821649,4634244
20170814T085638,2.7,1826649,5004442,2.7,1826649,4634244
20170814T085642,2.7,1833649,5004442,2.7,1833649,4634244
20170814T085642,2.7,1783649,4954442,2.7,1783649,4634244
20170814T085645,2.7,1793649,4964442,2.7,1793649,4634244
20170814T085647,2.7,1808649,4959442,2.7,1808649,4634244
20170814T085647,2.7,1807749,4959442,2.7,1807749,4634244
20170814T085647,2.7,1808649,4939442,2.7,1808649,4634244
20170814T085647,2.7,1788649,4939442,2.7,1788649,4634244
20170814T085647,2.7,1808649,4959442,2.7,1808649,4634244
20170814T085653,2.7,1813649,4967134,2.7,1813649,4684244
20170814T085657,2.7,1833649,4967134,2.7,1833649,4684244
20170814T085703,2.7,1823649,4957134,2.7,1823649,4684244
20170814T085709,2.7,1813305,4946790,2.7,1813305,4834244
20170814T085711,2.7,2063305,5196790,2.7,2063305,4834244
20170814T085713,2.7,2183305,5196790,2.7,2183305,4834244
20170814T085714,2.7,2188305,5201790,2.7,2188305,4834844
20170814T085716,2.7,2193305,5206790,2.7,2193305,4834844
20170814T085719,2.7,2203675,5217160,2.7,2203675,4834844
20170814T085720,2.7,2183675,5197160,2.7,2183675,4834844
20170814T085721,2.7,2203675,5217160,2.7,2203675,4834844
20170814T085724,2.7,2208675,5222160,2.7,2208675,4834844
20170814T085725,2.7,2213675,5226285,2.7,2213675,4884844
20170814T085726,2.7,2263675,5276285,2.7,2263675,4884844
20170814T085738,2.7,2289675,5290285,2.7,2289675,4909944
20170814T085739,2.7,2269675,5270285,2.7,2269675,4909944
20170814T085741,2.7,2319675,5320285,2.7,2319675,4909944
20170814T085748,2.7,2312875,5313485,2.7,2312875,4909944
20170814T085751,2.7,2330704,5313985,2.7,2330704,4909944
20170814T085812,2.7,2298325,5393885,2.7,2298325,4909944
20170814T085812,2.7,2330704,5393885,2.7,2330704,4909944
20170814T085851,2.72,2384204,6739872,2.72,2384204,5039944
20170814T085853,2.73,2384204,6739872,2.73,2384204,5041944
20170814T085855,2.73,2386204,6764872,2.73,2386204,5043944
20170814T085900,2.75,2522209,7013732,2.75,2522209,5153944
20170814T085900,2.75,2523109,7013732,2.75,2523109,5153944
20170814T085900,2.75,2548109,6938732,2.75,2548109,5153944
20170814T085903,2.75,2566109,6938732,2.75,2566109,5203944
20170814T085904,2.75,2541109,6913732,2.75,2541109,5203944
20170814T085906,2.75,2546109,6913732,2.75,2546109,5203944
20170814T085910,2.75,2574109,6933732,2.75,2574109,5218944
20170814T085913,2.75,2594109,6933732,2.75,2594109,5218944
20170814T085922,2.75,2544109,6913732,2.75,2544109,5218944
20170814T085922,2.75,2564109,6933732,2.75,2564109,5218944
20170814T085923,2.75,2614109,6933732,2.75,2614109,5218944
20170814T085924,2.75,2662704,6983732,2.75,2662704,5218944
20170814T085928,2.76,2929704,7603732,2.76,2929704,5218944
20170814T085928,2.76,2924378,7552832,2.76,2924378,5218944
20170814T085928,2.76,2923478,7552832,2.76,2923478,5218944
20170814T085928,2.76,2924378,7553732,2.76,2924378,5218944
20170814T085929,2.76,2874378,7503732,2.76,2874378,5228944
20170814T085930,2.76,2880128,7509482,2.76,2880128,5228944
20170814T085933,2.76,2906128,7509262,2.76,2906128,5228944
20170814T085935,2.76,2931131,7559262,2.76,2931131,5230371
20170814T085935,2.78,2881131,7559262,2.78,2881131,5180371
20170814T085935,2.76,2931131,7558362,2.76,2931131,5230371
20170814T085935,2.78,2931131,7559262,2.78,2931131,5230371
20170814T085947,2.79,2916078,7676262,2.79,2916078,5230371
20170814T085947,2.79,2898078,7658262,2.79,2898078,5280371
20170814T085948,2.79,2916078,7655362,2.79,2916078,5280371
20170814T085948,2.79,2915178,7655362,2.79,2915178,5280371
20170814T085948,2.79,2950178,7656262,2.79,2950178,5280371
20170814T085948,2.79,2951078,7656262,2.79,2951078,5280371
20170814T085949,2.79,2971078,7676262,2.79,2971078,5280371
20170814T085950,2.79,2978078,7676262,2.79,2978078,5363944
20170814T085950,2.79,2985563,7676262,2.79,2985563,5363944
20170814T085951,2.79,3485563,8176262,2.79,3485563,5358944
20170814T085951,2.79,3510563,8201262,2.79,3510563,5358944
20170814T085951,2.79,3519763,8210462,2.79,3519763,5358944
20170814T085952,2.79,3525513,8210462,2.79,3525513,5358944
20170814T085954,2.79,3575513,8260462,2.79,3575513,5388944
20170814T085955,2.79,3585513,8270462,2.79,3585513,5388944
20170814T085955,2.79,3560513,8245462,2.79,3560513,5388944
20170814T085958,2.79,3660513,8345462,2.79,3660513,5388944
20170814T085958,2.79,3860513,8545462,2.79,3860513,5388944
20170814T085959,2.79,3861278,8545450,2.79,3861278,5388944
20170814T085959,2.79,3868778,8545450,2.79,3868778,5388944
20170814T085959,2.79,3848778,8525450,2.79,3848778,5388944
20170814T090000,2.79,4148778,8832790,2.79,4148778,5388944
20170814T090000,2.8,4587778,9332790,2.8,4587778,5388944
20170814T090000,2.8,4586878,9331890,2.8,4586878,5388944
20170814T090000,2.8,4587778,9332790,2.8,4587778,5388944
20170814T090000,2.8,4569778,9314790,2.8,4569778,5388944
20170814T090000,2.8,4587778,9332790,2.8,4587778,5388944
20170814T090000,2.8,4607778,9346290,2.8,4607778,5388944
20170814T090001,2.8,4697778,9346290,2.8,4697778,5452944
20170814T090003,2.8,4690293,9305305,2.8,4690293,5452944
20170814T090004,2.8,4790293,9405305,2.8,4790293,5452944
20170814T090006,2.8,4815293,9404305,2.8,4815293,5482944
20170814T090009,2.8,4865293,9454305,2.8,4865293,5482944
20170814T090010,2.8,4815293,9404305,2.8,4815293,5482944
20170814T090013,2.8,4835293,9434305,2.8,4835293,5482944
20170814T090015,2.8,4865293,9464305,2.8,4865293,5432944
20170814T090016,2.8,4845293,9444305,2.8,4845293,5432944
20170814T090016,2.8,4830293,9419305,2.8,4830293,5432944
20170814T090017,2.8,4850293,9439305,2.8,4850293,5432944
20170814T090017,2.8,4841093,9430105,2.8,4841093,5432944
20170814T090017,2.8,4861093,9450105,2.8,4861093,5432944
20170814T090017,2.8,4867825,9449877,2.8,4867825,5432944
20170814T090018,2.8,4877825,9459877,2.8,4877825,5432944
20170814T090020,2.8,4902825,9484877,2.8,4902825,5534944
20170814T090021,2.8,4911925,9493977,2.8,4911925,5534944
20170814T090021,2.8,4921925,9503977,2.8,4921925,5534944
20170814T090026,2.8,4901925,9403977,2.8,4901925,5564944
20170814T090028,2.8,4871925,9413977,2.8,4871925,5564244
20170814T090033,2.8,4851925,9543977,2.8,4851925,5564244
20170814T090035,2.8,4833925,9025977,2.8,4833925,5764244
20170814T090036,2.8,4793925,8985977,2.8,4793925,5764244
20170814T090038,2.8,4743925,8935977,2.8,4743925,5764244
20170814T090042,2.8,4693925,8885977,2.8,4693925,5764244
20170814T090049,2.8,4687193,8894245,2.8,4687193,6097927
20170814T090049,2.8,4682193,8889245,2.8,4682193,6097927
20170814T090049,2.8,4690193,8889245,2.8,4690193,6097927
20170814T090051,2.8,4689293,8888345,2.8,4689293,6097927
20170814T090053,2.8,4690193,9089245,2.8,4690193,6147927
20170814T090059,2.81,5059000,9589245,2.81,5059000,6107927
20170814T090103,2.81,5109000,9638245,2.81,5109000,6062744
20170814T090104,2.81,5059000,9588245,2.81,5059000,6062744
20170814T090104,2.81,5159000,9688245,2.81,5159000,6062744
20170814T090105,2.81,5059000,9589745,2.81,5059000,6062744
20170814T090109,2.81,5089000,9599745,2.81,5089000,6061191
20170814T090109,2.81,5069000,9599745,2.81,5069000,6061191
20170814T090113,2.81,5109000,9643045,2.81,5109000,6089605
20170814T090114,2.8,5240193,9643045,2.8,5240193,6189605
20170814T090116,2.8,5190193,9603045,2.8,5190193,6189605
20170814T090116,2.8,5170193,9583045,2.8,5170193,6189605
20170814T090117,2.8,5190193,9603045,2.8,5190193,6189605
20170814T090118,2.8,5160193,9573045,2.8,5160193,6189605
20170814T090120,2.8,5135193,9548045,2.8,5135193,6189605
20170814T090121,2.81,5004000,9548045,2.81,5004000,6439605
20170814T090121,2.8,5135193,9548045,2.8,5135193,6439605
20170814T090123,2.8,5159754,9632606,2.8,5159754,6439605
20170814T090129,2.8,5209754,9625106,2.8,5209754,6439605
20170814T090130,2.8,5223988,9639340,2.8,5223988,6439605
20170814T090135,2.8,5203988,9619340,2.8,5203988,6500105
20170814T090136,2.8,5223988,9639340,2.8,5223988,6500105
20170814T090136,2.79,85000,4446352,2.8,113517,3225086
20170814T090136,2.79,85000,4446352,2.8,103517,3215086
20170814T090136,2.79,85000,4446352,2.8,113517,3225086
20170814T090136,2.79,95000,4456352,2.8,113517,3225086
20170814T090136,2.79,95000,4466249,2.8,103517,3215086
20170814T090136,2.79,95000,4466249,2.8,93517,3205086
20170814T090136,2.79,93891,4465140,2.8,93517,3205086
20170814T090136,2.79,93891,4465140,2.8,103517,3215086
20170814T090136,2.79,93091,4464340,2.8,103517,3215086
20170814T090137,2.79,92391,4463640,2.8,103517,3215086
20170814T090137,2.79,70391,4441640,2.8,103517,3215086
20170814T090137,2.79,70391,4441640,2.8,96817,3208386
20170814T090137,2.79,77951,4449200,2.8,96817,3208386
20170814T090137,2.79,87651,4458900,2.8,96817,3208386
20170814T090137,2.79,96751,4468000,2.8,96817,3208416
20170814T090138,2.79,96651,4467900,2.8,96817,3208386
20170814T090138,2.79,96551,4467800,2.8,96817,3208386
20170814T090138,2.79,96451,4497700,2.8,96817,3208386
20170814T090138,2.79,96351,4497600,2.8,96817,3208386
20170814T090138,2.79,96251,4497500,2.8,96817,3208386
20170814T090139,2.79,96151,4497400,2.8,96817,3208386
20170814T090141,2.79,86360,4387609,2.8,96817,3358386
20170814T090141,2.79,36360,4337609,2.8,96817,3358386
20170814T090141,2.79,26360,4327609,2.8,96817,3358386
20170814T090141,2.79,18800,4320049,2.8,96817,3358386
20170814T090141,2.79,9100,4310349,2.8,96817,3358386
20170814T090141,2.76,35000,4301249,2.8,96817,3358386
20170814T090141,2.76,35000,4301249,2.79,3849,3362235
20170814T090141,2.76,35000,4301249,2.79,14649,3373035
20170814T090141,2.76,40001,4306250,2.79,14649,3373035
20170814T090141,2.76,49301,4315550,2.79,14649,3373035
20170814T090141,2.77,6892,4322442,2.79,14649,3373035
20170814T090141,2.77,6892,4322442,2.79,24649,3383035
20170814T090141,2.77,16192,4331742,2.79,24649,3383035
20170814T090142,2.77,16192,4327341,2.79,24149,3456985
20170814T090142,2.77,16192,4327341,2.79,13349,3446185
20170814T090142,2.77,16452,4327601,2.79,13349,3446185
20170814T090142,2.77,16452,4327601,2.79,10000,3442836
20170814T090142,2.77,16452,4327601,2.8,96817,3432836
20170814T090142,2.77,16452,4327601,2.79,6892,3439728
20170814T090142,2.78,9700,4337301,2.79,6892,3439728
20170814T090142,2.77,16452,4327601,2.79,6892,3439728
20170814T090142,2.78,10000,4337601,2.79,6892,3439728
20170814T090142,2.78,10000,4337601,2.8,96817,3432836
20170814T090142,2.78,10000,4337601,2.8,17058,3353077
20170814T090142,2.78,17060,4358210,2.8,17058,3353077
20170814T090143,2.78,16960,4358110,2.8,17058,3353077
20170814T090144,2.78,16860,4358010,2.8,17058,3353077
20170814T090144,2.78,16760,4357910,2.8,17058,3353077
20170814T090144,2.78,16760,4357910,2.79,100,3353177
20170814T090144,2.78,16760,4357910,2.79,400,3353477
20170814T090144,2.78,9700,4350850,2.79,400,3353477
20170814T090145,2.78,9700,4350850,2.79,500,3353577
20170814T090145,2.78,9700,4350850,2.79,400,3353477
20170814T090145,2.78,9700,4350850,2.79,300,3353377
20170814T090145,2.78,9700,4350850,2.8,17058,3353077
20170814T090145,2.78,9700,4350850,2.8,22058,3353077
20170814T090145,2.78,9700,4350850,2.8,31358,3362377
20170814T090146,2.78,9600,4400750,2.8,31358,3362377
20170814T090146,2.78,9600,4400750,2.79,100,3362477
20170814T090146,2.78,9500,4400650,2.79,100,3362477
20170814T090146,2.78,9500,4400650,2.79,200,3362577
20170814T090146,2.78,9500,4400650,2.79,300,3362677
20170814T090147,2.78,9500,4400650,2.79,400,3362777
20170814T090147,2.78,9500,4400650,2.79,8200,3370577
20170814T090147,2.78,9500,4400650,2.79,400,3362777
20170814T090147,2.78,9500,4400650,2.79,300,3362677
20170814T090147,2.78,9500,4400650,2.79,200,3362577
20170814T090147,2.78,9500,4400650,2.79,100,3362477
20170814T090147,2.78,9500,4400650,2.8,31358,3362377
20170814T090147,2.78,9500,4400650,2.79,100,3362477
20170814T090147,2.78,10500,4401650,2.79,100,3362477
20170814T090147,2.78,10500,4401650,2.79,200,3362577
20170814T090147,2.78,10500,4401650,2.79,100,3362477
20170814T090147,2.78,10500,4401650,2.8,31358,3362377
20170814T090147,2.78,10500,4401650,2.8,24300,3355319
20170814T090147,2.78,10500,4401650,2.8,14300,3345319
20170814T090147,2.78,10500,4401650,2.8,10558,3341577
20170814T090147,2.78,10500,4401650,2.8,1258,3332277
20170814T090147,2.78,10760,4401910,2.8,1258,3332277
20170814T090147,2.78,20446,4405096,2.8,1258,3332277
20170814T090147,2.78,30646,4415296,2.8,1258,3332277
20170814T090147,2.78,30546,4401647,2.8,1258,3332277
20170814T090147,2.78,30546,4401647,2.8,1358,3332377
20170814T090148,2.79,1000,4402647,2.8,1358,3332377
20170814T090148,2.79,11000,4412647,2.8,1358,3332377
20170814T090148,2.79,21740,4413701,2.8,1358,3332377
20170814T090148,2.79,21640,4413601,2.8,1358,3332377
20170814T090148,2.79,21540,4445001,2.8,1358,3332377
20170814T090148,2.79,21440,4444901,2.8,1358,3332377
20170814T090148,2.79,22440,4445901,2.8,1358,3332377
20170814T090148,2.79,30640,4454101,2.8,1358,3332377
20170814T090148,2.79,22440,4445901,2.8,1358,3332377
20170814T090148,2.79,22340,4465801,2.8,1358,3332377
20170814T090149,2.79,22034,4465495,2.8,1358,3332377
20170814T090149,2.79,21934,4465395,2.8,1358,3332377
20170814T090149,2.79,21834,4465295,2.8,1358,3332377
20170814T090149,2.79,21834,4465295,2.8,358,3331377
20170814T090149,2.79,21734,4465195,2.8,358,3331377
20170814T090149,2.79,21634,4465095,2.8,358,3331377
20170814T090150,2.79,21434,4464895,2.8,358,3324516
20170814T090150,2.79,20434,4463895,2.8,358,3324516
20170814T090150,2.79,14773,4458234,2.8,358,3324516
20170814T090152,2.79,14773,4458234,2.8,100,3324258
20170814T090152,2.79,14773,4458234,2.81,250000,3324158
20170814T090152,2.79,14773,4458234,2.8,5000,3329158
20170814T090152,2.79,14773,4458234,2.8,10661,3334819
20170814T090152,2.79,4339,4447800,2.8,10661,3334319
20170814T090154,2.79,14333,4457794,2.8,10661,3334319
20170814T090154,2.79,14233,4437694,2.8,10661,3339319
20170814T090154,2.79,14133,4437594,2.8,10661,3339319
20170814T090154,2.79,14033,4437494,2.8,10661,3339319
20170814T090155,2.79,9994,4433455,2.8,10661,3315319
20170814T090155,2.78,20860,4423461,2.8,10661,3315319
20170814T090155,2.78,11460,4414061,2.8,10661,3315319
20170814T090155,2.78,10893,4413494,2.8,10661,3315319
20170814T090155,2.79,7492,4420986,2.8,10661,3315319
20170814T090155,2.79,7392,4420626,2.8,10661,3315319
20170814T090155,2.79,7292,4420786,2.8,10661,3315319
20170814T090157,2.79,7192,4420686,2.8,10661,3315319
20170814T090157,2.79,7092,4420586,2.8,10661,3315319
20170814T090157,2.79,6992,4420486,2.8,10661,3315319
20170814T090157,2.79,6892,4420386,2.8,10661,3315319
20170814T090158,2.79,6892,4420386,2.8,5661,3310319
20170814T090158,2.79,6892,4420386,2.81,250000,3304658
20170814T090158,2.79,6892,4420386,2.8,5000,3309658
20170814T090158,2.79,6892,4420386,2.8,15000,3319658
20170814T090158,2.79,6892,4420386,2.8,65000,3319658
20170814T090158,2.79,6892,4418886,2.8,63500,3318158
20170814T090159,2.79,6892,4398886,2.8,98271,3152929
20170814T090159,2.79,6892,4398886,2.8,107171,3161829
20170814T090159,2.79,6892,4398886,2.8,98271,3152929
20170814T090200,2.78,10893,4391994,2.8,98271,3152929
20170814T090200,2.78,16554,4397655,2.8,98271,3152929
20170814T090200,2.78,16121,4397222,2.8,98271,3152929
