time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20170821T051035,103.5,50,1009,108.0,61,1886
20170821T081000,101.0,200,200,0,0,0
20170821T081000,101.0,200,506,108.0,51,51
20170821T081513,107.5,7,513,108.0,51,1476
20170821T102758,102.0,5,1216,108.0,51,3056
20170821T102758,102.0,5,1216,107.5,13,3069
20170821T102758,102.0,5,1216,107.5,62,3118
20170821T111122,102.0,65,1276,107.5,62,3118
20170821T113325,107.0,5,1276,107.5,62,3118
20170821T113325,107.0,5,1276,107.5,13,3118
20170821T154129,107.0,5,1271,107.5,54,3170
20170821T161943,102.0,60,1266,107.5,54,3170
20170821T161943,101.5,34,1206,107.5,54,3170
20170821T161943,101.0,200,1172,107.5,54,3170
20170821T161943,101.5,34,1206,107.5,54,3170
20170821T161943,101.5,34,1206,104.0,240,3410
20170821T161943,101.0,200,1172,104.0,240,3410
20170821T162439,101.5,48,1220,104.0,240,3369
